50000 305756
1 12761 1
1 14633 1
1 14739 2
1 16926 4
1 21288 1
1 29399 5
1 31019 3
1 41368 4
1 48886 3
2 577 2
2 3743 2
2 6677 1
2 13447 3
2 14885 3
2 29028 5
2 31147 2
2 43071 1
2 47486 4
2 49034 4
2 49780 2
3 7323 1
3 14358 2
3 16254 4
3 17079 1
3 20825 2
3 20991 1
3 25320 5
3 30802 4
3 32299 2
3 45120 3
3 45293 2
3 48045 2
3 48679 1
4 11398 3
4 11795 2
4 13554 5
4 28362 2
4 32366 4
4 33084 3
4 34077 5
4 41950 4
4 46061 4
5 3264 3
5 6092 3
5 9517 1
5 10624 5
5 10980 1
5 11342 3
5 15027 3
5 16964 3
5 18694 4
5 23565 2
5 29435 4
5 40241 3
5 45755 5
6 5012 1
6 6327 3
6 6761 2
6 7564 2
6 11969 2
6 12948 4
6 13863 3
6 24490 4
6 25600 1
6 26528 3
6 27283 3
6 31224 3
6 45191 2
7 5237 5
7 10054 3
7 14654 3
7 14785 1
7 20012 5
7 22072 5
7 26393 5
7 43676 5
8 1238 4
8 2876 2
8 2919 5
8 3631 2
8 3763 1
8 5223 1
8 10578 3
8 11021 1
8 18348 2
8 28641 3
8 44768 2
8 46356 5
8 48104 4
9 1425 3
9 3166 4
9 4573 1
9 9263 2
9 22240 4
9 28756 3
9 37767 1
9 40542 2
9 42541 1
9 46221 4
9 48773 2
9 49782 1
10 882 5
10 14094 3
10 37504 4
10 39484 1
10 41024 2
10 45629 5
10 49709 2
11 2591 2
11 2888 5
11 3154 2
11 7427 5
11 8890 4
11 8957 3
11 9185 4
11 22614 1
11 27948 3
11 37473 2
11 46879 1
11 48398 2
12 3278 2
12 6480 4
12 20147 5
12 21653 5
12 25304 3
12 27714 3
12 31361 5
12 34681 4
12 36014 5
12 38497 4
12 41446 5
12 46078 5
13 220 1
13 11372 3
13 12773 5
13 16769 5
13 21995 3
13 31328 4
13 38610 5
13 38795 4
13 40780 5
13 47468 1
14 12425 5
14 13391 3
14 15978 5
14 24440 5
14 37382 2
14 43148 2
15 5468 2
15 11374 2
15 15283 2
15 15605 4
15 18142 1
15 19874 3
15 44791 2
15 46429 1
15 46849 2
16 536 1
16 1089 3
16 4235 3
16 7776 1
16 10225 5
16 16281 4
16 17673 5
16 21089 3
16 22183 3
16 24635 5
16 34214 2
16 39022 2
16 42191 1
16 44462 1
16 47823 3
16 48145 2
17 4880 3
17 15821 4
17 22721 1
17 24887 2
17 25013 1
17 28426 4
17 37791 5
17 38288 1
17 38359 5
17 40492 2
17 40818 5
17 43754 4
17 45229 1
17 47578 5
18 7369 4
18 8355 5
18 8942 3
18 10457 5
18 13663 1
18 16474 4
18 18041 3
18 19185 3
18 23623 2
18 29603 3
18 31538 5
18 36285 4
18 36800 3
18 43386 5
18 48748 5
19 4024 1
19 5427 4
19 6979 2
19 7066 2
19 19202 2
19 20648 2
19 24430 1
19 29155 2
19 29165 2
19 30963 1
19 37985 1
19 38494 5
19 41138 2
20 2383 4
20 15948 5
20 16488 2
20 16953 4
20 18811 5
20 26581 4
20 37195 3
20 38804 3
20 39649 5
20 39965 5
20 41006 1
20 42703 1
20 43344 4
20 45606 3
20 45877 3
20 48016 5
21 763 5
21 10900 3
21 12487 3
21 22493 4
21 23193 4
21 37875 4
21 42194 2
21 44236 5
21 45092 5
22 1014 1
22 6893 5
22 11297 1
22 18939 4
22 32227 4
22 37521 4
22 42447 3
22 46705 1
22 47888 1
22 49560 3
23 9402 5
23 10602 1
23 10887 3
23 21167 1
23 25967 2
23 30043 5
23 39952 2
23 44286 1
23 44392 1
23 46757 3
23 48986 4
23 49235 3
24 2402 1
24 3555 5
24 13393 1
24 17100 2
24 31514 1
24 37434 5
24 39971 3
24 41724 4
24 43033 5
25 18611 4
25 21855 2
25 45042 2
25 45737 1
26 4167 5
26 8269 1
26 11762 4
26 13661 3
26 22776 1
26 22824 2
26 27666 2
26 40370 3
26 42842 5
26 47193 4
27 904 5
27 5612 4
27 5728 4
27 8931 1
27 28908 1
27 31353 2
27 31378 5
27 38465 5
27 44605 5
28 393 4
28 16068 2
28 16371 1
28 18338 3
28 19437 3
28 19868 2
28 21741 4
28 22213 1
28 26951 4
28 30597 4
28 37472 4
28 37825 5
28 40971 1
28 43537 2
29 388 1
29 2214 5
29 5683 2
29 8368 2
29 22152 4
29 27293 5
29 28563 3
29 34402 3
29 43944 5
29 49598 2
30 1465 1
30 6312 3
30 9984 5
30 29942 5
30 30179 4
30 39628 1
30 41010 2
30 43877 4
30 46554 2
31 1841 5
31 5188 1
31 7940 3
31 8942 2
31 13809 3
31 21775 1
31 24606 1
31 34489 3
31 36799 1
31 49002 3
31 49455 4
32 1347 1
32 8042 1
32 10058 4
32 11287 3
32 24743 3
32 31357 1
32 36707 5
32 38583 1
32 48789 2
33 2297 5
33 6679 1
33 15563 5
33 22543 3
33 26517 1
33 39334 4
33 43724 4
33 46665 3
33 49451 2
34 144 4
34 10679 4
34 17243 3
34 18387 4
34 19660 3
34 19926 4
34 23634 5
34 24519 5
34 34126 5
34 34222 3
34 35501 2
34 49685 2
35 3905 2
35 14551 1
35 14973 5
35 21367 1
35 23519 3
35 30195 3
35 30490 3
35 35531 3
35 37021 1
35 41668 4
35 43826 5
35 44329 2
35 44617 3
35 45391 5
35 46458 3
35 46874 3
35 47331 5
36 3582 2
36 6094 4
36 8701 5
36 11055 2
36 12114 1
36 21946 5
36 41753 1
36 43009 4
36 43095 2
36 47647 2
37 3639 2
37 4878 1
37 7486 2
37 13062 5
37 15440 1
37 21089 4
37 23391 2
37 29227 4
37 32360 1
37 46816 2
38 877 2
38 7011 3
38 18968 5
38 19460 2
38 20705 5
38 21910 4
38 26433 4
38 41002 4
38 45709 3
39 8526 1
39 8591 5
39 9099 3
39 12322 4
39 14741 4
39 16096 2
39 18579 5
39 23129 1
39 24977 1
39 31079 3
39 32917 5
39 34806 3
39 35191 4
39 36954 2
39 42386 5
39 45115 1
40 3310 4
40 8279 1
40 9656 2
40 9720 1
40 11350 4
40 12682 4
40 14558 3
40 18421 4
40 19737 2
40 21675 5
40 21926 3
40 26097 4
40 29817 2
40 37377 4
40 39953 4
41 1094 5
41 2227 2
41 5190 1
41 5525 5
41 7234 5
41 11336 5
41 16193 5
41 22818 1
41 23981 1
41 24516 2
41 36059 2
41 42249 5
41 42721 2
42 3404 2
42 3973 4
42 21433 2
42 25755 4
42 29117 3
42 29673 2
42 36668 4
42 44238 2
42 46117 2
42 49796 2
43 3469 2
43 5878 2
43 10124 2
43 10973 3
43 17450 5
43 22357 1
43 27262 5
43 27931 2
43 39283 5
43 39604 4
43 39763 4
44 3207 4
44 9563 1
44 10806 1
44 11512 3
44 12930 5
44 14516 1
44 20138 5
44 20715 2
44 30156 1
44 30284 3
44 32542 4
44 32872 3
44 35966 5
44 37452 5
44 38876 1
44 45196 1
44 47006 4
45 1286 3
45 5261 2
45 19959 1
45 21266 1
45 32448 2
45 32640 2
45 37427 4
45 41280 5
46 5183 1
46 6304 4
46 6856 4
46 13525 1
46 14863 2
46 15685 5
46 23258 3
46 25193 1
46 26172 5
46 39420 5
46 43475 1
46 49138 5
47 388 2
47 2182 4
47 21631 5
47 21853 5
47 26680 3
47 26795 2
47 27401 5
47 31153 1
47 37467 2
47 47508 4
48 6383 4
48 10101 3
48 12490 2
48 21996 2
48 26484 4
48 36528 3
48 39922 5
48 41890 4
48 42817 3
48 43291 5
48 47185 1
49 5838 4
49 11293 2
49 21279 5
49 22712 2
49 24332 1
49 24665 4
49 27664 3
49 30054 4
49 33035 1
50 2631 3
50 6828 4
50 25500 3
50 25515 4
50 33700 2
50 33708 1
50 34812 4
50 38431 3
50 40135 2
50 42929 4
50 46302 5
51 1888 5
51 10221 5
51 10243 3
51 15773 2
51 25071 2
51 27533 5
51 41711 3
51 42327 3
51 47391 2
52 1788 2
52 5385 3
52 10817 2
52 11976 2
52 18706 1
52 19513 3
52 21432 5
52 26225 2
52 27343 4
52 27367 5
52 29126 3
52 29436 1
52 32440 5
52 34570 4
52 34633 2
52 44354 3
52 45876 1
53 20697 5
53 31353 1
53 33571 3
53 42919 4
53 47252 5
53 47282 4
53 48685 5
53 48730 1
54 6066 5
54 31604 5
54 41213 2
54 45083 1
55 7101 3
55 8214 3
55 15098 2
55 17533 4
55 20710 1
55 22161 5
55 24153 3
55 27288 1
55 30301 3
55 34996 2
55 35851 2
55 39889 2
55 43356 5
55 43991 4
56 8595 5
56 11445 4
56 13638 5
56 14457 5
56 16064 1
56 16819 4
56 17124 1
56 21633 5
56 34163 2
56 35156 1
56 38510 2
56 39071 4
56 40725 1
56 44943 3
56 45682 5
56 48262 4
56 49279 5
56 49487 3
57 2642 2
57 3318 3
57 18104 3
57 21661 4
57 25896 5
57 26729 2
57 29194 1
57 30459 4
57 34767 4
57 35770 5
57 43402 3
58 657 3
58 8267 5
58 20442 4
58 20454 1
58 23514 5
58 25447 4
58 37550 4
58 41525 1
58 42163 2
58 48841 2
59 7348 2
59 10671 2
59 20460 1
59 24418 3
59 28689 2
59 29249 5
59 31745 2
59 33977 3
59 35536 5
59 43363 2
59 45772 1
60 2158 5
60 2705 3
60 2810 5
60 3578 1
60 6155 2
60 6718 3
60 8332 4
60 12374 3
60 13198 3
60 16490 5
60 17068 3
60 22244 4
60 23663 4
60 24238 3
60 30195 5
60 44368 2
60 45092 1
60 46509 1
60 48266 4
60 49923 2
61 627 2
61 869 5
61 3406 1
61 6665 3
61 8504 3
61 11919 5
61 12694 3
61 14631 3
61 15464 4
61 22717 2
61 28177 2
61 36665 4
61 38232 5
61 40777 4
61 41748 2
61 42022 4
61 44260 2
62 1527 3
62 2212 3
62 2934 5
62 3120 5
62 11249 5
62 11592 2
62 14153 1
62 14370 3
62 29767 3
62 29785 2
62 35911 3
62 41389 4
62 43259 3
62 43306 1
63 4936 2
63 5258 2
63 5638 2
63 7832 5
63 12542 3
63 19161 1
63 23597 3
63 25902 5
63 31325 5
63 41278 1
63 43776 2
63 47384 5
63 49026 5
64 7356 3
64 8758 5
64 15708 1
64 15877 1
64 22148 1
64 28734 4
64 28812 5
64 30264 1
64 30438 1
64 32334 4
64 35348 5
64 37074 4
64 43813 3
64 45297 1
65 1033 2
65 1255 5
65 3472 1
65 6351 4
65 9833 4
65 13881 1
65 16503 5
65 16692 4
65 16698 4
65 18582 2
65 21892 3
65 23683 5
65 33626 1
65 45546 2
66 926 2
66 3431 2
66 7497 2
66 9459 5
66 17964 1
66 21293 3
66 23460 2
66 24528 2
66 26985 5
66 30470 4
66 33111 2
66 49516 2
67 1398 3
67 5827 5
67 6733 1
67 9376 2
67 9529 5
67 24128 5
67 25094 5
67 31355 1
67 33457 3
67 39801 4
67 40439 5
67 41321 2
68 6608 5
68 15280 3
68 17344 3
68 18888 1
68 25020 5
68 34003 3
68 43430 5
68 46012 4
68 47377 3
69 3776 5
69 5038 4
69 7205 3
69 12374 4
69 14929 1
69 22458 5
69 24904 1
69 31355 4
69 32349 2
69 32854 2
69 32921 5
69 36517 4
69 37231 1
69 42651 2
69 44760 2
69 45327 4
70 3309 3
70 5894 1
70 6265 3
70 20777 3
70 21297 4
70 28850 5
70 48982 3
71 94 1
71 1239 3
71 12465 2
71 16149 1
71 19289 2
71 28560 3
71 31727 3
71 32948 5
71 41056 5
71 41131 3
71 42852 3
71 45884 5
72 3407 2
72 5690 3
72 6163 2
72 6548 5
72 12694 4
72 13173 2
72 13841 1
72 19642 2
72 22370 2
72 22703 4
72 31419 1
72 32525 2
72 33856 2
72 35383 2
72 35522 4
72 42813 3
72 42925 1
72 43828 4
72 47574 2
73 3888 4
73 11179 5
73 12970 3
73 14759 5
73 14876 2
73 15277 4
73 20803 3
73 24404 2
73 38980 3
73 40121 2
73 44497 5
74 2398 2
74 6331 3
74 8578 4
74 10749 1
74 19841 4
74 22550 3
74 28361 5
74 36354 1
74 39184 1
74 44271 2
74 45136 4
74 45310 5
75 2454 3
75 7911 5
75 16347 4
75 17820 3
75 25432 2
75 31336 1
75 34322 1
75 35134 4
75 37945 5
75 38208 4
75 40040 4
75 43441 4
75 45321 1
75 45936 1
75 46702 5
76 5677 4
76 10940 4
76 11321 4
76 12977 2
76 16026 5
76 20190 1
76 20678 5
76 28374 5
76 30890 3
76 41209 2
76 47581 1
76 49278 4
77 4520 3
77 5683 4
77 6390 4
77 14621 4
77 34800 4
77 35125 5
77 42529 5
77 47074 2
77 47511 3
78 4156 4
78 7830 4
78 9615 3
78 12035 4
